13:50:02.534 [ApplicationImpl pooled thread 6] INFO  c.b.l.BrowserStackRunExtension - maven
13:50:02.536 [ApplicationImpl pooled thread 6] INFO  com.browserstack.utils.Helpers - null
13:54:10.549 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
13:54:10.555 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
19:03:42.759 [ApplicationImpl pooled thread 6] INFO  c.b.l.BrowserStackRunExtension - testng
19:03:42.763 [ApplicationImpl pooled thread 6] INFO  com.browserstack.utils.Helpers - null
19:03:42.765 [ApplicationImpl pooled thread 6] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:17:56.457 [ApplicationImpl pooled thread 1] INFO  c.b.l.BrowserStackRunExtension - testng
19:17:56.457 [ApplicationImpl pooled thread 1] INFO  com.browserstack.utils.Helpers - null
19:17:56.459 [ApplicationImpl pooled thread 1] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:19:07.913 [ApplicationImpl pooled thread 16] INFO  c.b.l.BrowserStackRunExtension - testng
19:19:07.913 [ApplicationImpl pooled thread 16] INFO  com.browserstack.utils.Helpers - null
19:19:07.914 [ApplicationImpl pooled thread 16] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:22:07.521 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - testng
19:22:07.521 [ApplicationImpl pooled thread 22] INFO  com.browserstack.utils.Helpers - null
19:22:07.522 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:22:40.774 [ApplicationImpl pooled thread 21] INFO  c.b.l.BrowserStackRunExtension - testng
19:22:40.774 [ApplicationImpl pooled thread 21] INFO  com.browserstack.utils.Helpers - null
19:22:40.775 [ApplicationImpl pooled thread 21] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:28:21.100 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - testng
19:28:21.100 [ApplicationImpl pooled thread 20] INFO  com.browserstack.utils.Helpers - null
19:28:21.101 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:39:54.416 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - testng
19:39:54.419 [ApplicationImpl pooled thread 11] INFO  com.browserstack.utils.Helpers - null
19:39:54.420 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:40:58.073 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - testng
19:40:58.073 [ApplicationImpl pooled thread 11] INFO  com.browserstack.utils.Helpers - null
19:40:58.074 [ApplicationImpl pooled thread 11] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:41:39.637 [ApplicationImpl pooled thread 10] INFO  c.b.l.BrowserStackRunExtension - testng
19:41:39.637 [ApplicationImpl pooled thread 10] INFO  com.browserstack.utils.Helpers - null
19:41:39.639 [ApplicationImpl pooled thread 10] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:43:37.772 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
19:43:37.804 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
